"Età","Sesso","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"59","Totale","119","104","116","95","103","98","108","98","114","110"
"60","Maschi","39","56","39","41","48","44","47","46","46","57"
"60","Femmine","74","62","67","72","47","57","51","61","52","55"
"60","Totale","113","118","106","113","95","101","98","107","98","112"
"61","Maschi","56","38","55","38","39","48","42","49","45","45"
"61","Femmine","77","74","60","67","72","48","57","51","61","51"
"61","Totale","133","112","115","105","111","96","99","100","106","96"
"62","Maschi","57","56","39","53","38","40","44","41","49","45"
"62","Femmine","61","77","73","59","67","74","47","55","50","61"
"62","Totale","118","133","112","112","105","114","91","96","99","106"
"63","Maschi","56","54","54","39","51","38","39","44","41","49"
"63","Femmine","69","63","75","73","59","65","75","49","54","49"
"63","Totale","125","117","129","112","110","103","114","93","95","98"
"64","Maschi","55","53","53","54","39","51","40","39","44","39"
"64","Femmine","61","68","62","73","72","59","66","75","50","54"
"64","Totale","116","121","115","127","111","110","106","114","94","93"
"65","Maschi","44","55","52","52","53","39","51","40","39","44"
"65","Femmine","46","60","70","61","72","72","60","66","74","50"
"65","Totale","90","115","122","113","125","111","111","106","113","94"
"66","Maschi","53","42","54","50","50","51","38","50","38","38"
"66","Femmine","57","44","59","69","60","73","69","59","65","76"
"66","Totale","110","86","113","119","110","124","107","109","103","114"
"67","Maschi","46","51","39","54","50","47","50","39","49","36"
"67","Femmine","84","56","44","58","70","59","74","69","59","66"
"67","Totale","130","107","83","112","120","106","124","108","108","102"
"68","Maschi","46","41","51","39","50","49","44","46","39","50"
"68","Femmine","64","84","56","43","58","70","60","73","67","57"
"68","Totale","110","125","107","82","108","119","104","119","106","107"
"69","Maschi","44","44","41","51","39","56","48","43","42","39"
"69","Femmine","62","63","81","55","41","59","67","61","74","69"
"69","Totale","106","107","122","106","80","115","115","104","116","108"
"70","Maschi","34","38","41","40","48","41","56","47","41","41"
"70","Femmine","47","63","63","80","55","39","61","65","61","72"
"70","Totale","81","101","104","120","103","80","117","112","102","113"
"71","Maschi","42","32","36","41","39","45","42","53","46","39"
"71","Femmine","62","47","63","62","79","55","38","62","63","59"
"71","Totale","104","79","99","103","118","100","80","115","109","98"
"72","Maschi","31","41","33","35","39","38","44","40","51","43"
"72","Femmine","39","62","45","61","58","77","55","37","60","62"
"72","Totale","70","103","78","96","97","115","99","77","111","105"
"73","Maschi","17","29","41","33","35","37","37","40","38","51"
"73","Femmine","24","39","60","44","57","55","77","55","36","59"
"73","Totale","41","68","101","77","92","92","114","95","74","110"
"74","Maschi","27","16","28","38","32","33","34","35","39","36"
"74","Femmine","23","23","39","60","42","58","50","75","53","37"
"74","Totale","50","39","67","98","74","91","84","110","92","73"
"75","Maschi","21","28","16","28","38","31","32","36","35","39"
"75","Femmine","31","22","23","38","60","44","57","47","73","55"
"75","Totale","52","50","39","66","98","75","89","83","108","94"
"76","Maschi","38","19","27","16","28","38","30","31","34","34"
